# SD_tot is the amplitude of the overall spectral distortion (SD)
# The SD[i] are the amplitudes of the individual SDs
# The SDs are given in units [10^-26 W m^-2 Hz^-1 sr^-1] 
#
# 1:Dimensionless frequency x     2:Frequency nu [GHz]     3:SD_tot                 4:SD[g]                  5:SD[y]                  6:SD[mu]                 7:SD[e_0]                8:SD[e_1]            
       1.030105979378e+01       5.850000000000e+02       5.198460344885e+00       0.000000000000e+00       2.182865533785e+00       3.414437757408e+00      -4.416658562561e-01       4.282290994907e-02 
       1.056518953209e+01       6.000000000000e+02       4.483091319590e+00       0.000000000000e+00       1.932474192635e+00       2.920850645886e+00      -4.118948032174e-01       4.166128428618e-02 
       1.082931927039e+01       6.150000000000e+02       3.854290305815e+00       0.000000000000e+00       1.703786761382e+00       2.491462042812e+00      -3.809883586154e-01       4.002986023706e-02 
       1.109344900869e+01       6.300000000000e+02       3.304045941891e+00       0.000000000000e+00       1.496360808172e+00       2.119427507476e+00      -3.497857249100e-01       3.804335115301e-02 
       1.135757874699e+01       6.450000000000e+02       2.824543256633e+00       0.000000000000e+00       1.309399955668e+00       1.798301873726e+00      -3.189633917163e-01       3.580481895549e-02 
       1.162170848529e+01       6.600000000000e+02       2.408295257669e+00       0.000000000000e+00       1.141853216325e+00       1.522094161844e+00      -2.890576254862e-01       3.340550498648e-02 
       1.188583822360e+01       6.750000000000e+02       2.048282066166e+00       0.000000000000e+00       9.924997494493e-01       1.285307599078e+00      -2.604454657277e-01       3.092018336644e-02 
       1.214996796190e+01       6.900000000000e+02       1.737955233219e+00       0.000000000000e+00       8.600153107332e-01       1.082946134611e+00      -2.334204027824e-01       2.841419065721e-02 
       1.241409770020e+01       7.050000000000e+02       1.471310499856e+00       0.000000000000e+00       7.430278528877e-01       9.105112751439e-01      -2.081680889699e-01       2.593946079382e-02 
       1.267822743850e+01       7.200000000000e+02       1.242888241218e+00       0.000000000000e+00       6.401619383415e-01       7.639837499134e-01      -1.847942257925e-01       2.353677875564e-02 
       1.294235717680e+01       7.350000000000e+02       1.047764697120e+00       0.000000000000e+00       5.500709469235e-01       6.397965201031e-01      -1.633397444704e-01       2.123697456426e-02 
       1.320648691511e+01       7.500000000000e+02       8.815289307595e-01       0.000000000000e+00       4.714601297834e-01       5.348040654169e-01      -1.437981229959e-01       1.906285855517e-02 
       1.347061665341e+01       7.650000000000e+02       7.402711806701e-01       0.000000000000e+00       4.031055949732e-01       4.462483200954e-01      -1.261104384039e-01       1.702770400537e-02 
       1.373474639171e+01       7.800000000000e+02       6.205248524478e-01       0.000000000000e+00       3.438644782944e-01       3.717229336563e-01      -1.102034980264e-01       1.514093852354e-02 
       1.399887613001e+01       7.950000000000e+02       5.192460894071e-01       0.000000000000e+00       2.926801304300e-01       3.091381831296e-01      -9.597831353100e-02       1.340608937857e-02 
       1.426300586832e+01       8.100000000000e+02       4.337741014893e-01       0.000000000000e+00       2.485865921173e-01       2.566875605722e-01      -8.332274012153e-02       1.182268892127e-02 
       1.452713560662e+01       8.250000000000e+02       3.617916567136e-01       0.000000000000e+00       2.107068651040e-01       2.128149190080e-01      -7.211726763130e-02       1.038714023286e-02 
       1.479126534492e+01       8.400000000000e+02       3.012900165957e-01       0.000000000000e+00       1.782509457841e-01       1.761851550655e-01      -6.223964215246e-02       9.093557898545e-03 
       1.505539508322e+01       8.550000000000e+02       2.505328730539e-01       0.000000000000e+00       1.505118924707e-01       1.456566599640e-01      -5.357047721155e-02       7.934797830697e-03 
       1.531952482152e+01       8.700000000000e+02       2.080024219531e-01       0.000000000000e+00       1.268606721665e-01       1.202560972756e-01      -4.602267027267e-02       6.908322783712e-03 
       1.558365455983e+01       8.850000000000e+02       1.724428184902e-01       0.000000000000e+00       1.067407700147e-01       9.915634509968e-02      -3.945352430763e-02       5.999227683406e-03 
       1.584778429813e+01       9.000000000000e+02       1.428509038443e-01       0.000000000000e+00       8.966205288822e-02       8.165648580007e-02      -3.364216815585e-02       5.174533311904e-03 
       1.611191403643e+01       9.150000000000e+02       1.181285825190e-01       0.000000000000e+00       7.519490420068e-02       6.716397360291e-02      -2.869670971559e-02       4.466414430976e-03 
       1.637604377473e+01       9.300000000000e+02       9.755732482894e-02       0.000000000000e+00       6.296435871817e-02       5.517921273348e-02      -2.443311592433e-02       3.846869301625e-03 
       1.664017351303e+01       9.450000000000e+02       8.051827211578e-02       0.000000000000e+00       5.264430517622e-02       4.528194113011e-02      -2.070030110273e-02       3.292326912178e-03 
       1.690430325134e+01       9.600000000000e+02       6.634488262051e-02       0.000000000000e+00       4.395216353641e-02       3.711941042832e-02      -1.754730400098e-02       2.820612656761e-03 
       1.716843298964e+01       9.750000000000e+02       5.460149384265e-02       0.000000000000e+00       3.664403688256e-02       3.039618538010e-02      -1.485075747200e-02       2.412029051991e-03 
       1.743256272794e+01       9.900000000000e+02       4.491488022115e-02       0.000000000000e+00       3.050987009747e-02       2.486528349558e-02      -1.251064990282e-02       2.050376530929e-03 
       1.769669246624e+01       1.005000000000e+03       3.688863329989e-02       0.000000000000e+00       2.536942220738e-02       2.032068282820e-02      -1.054660916284e-02       1.745137427151e-03 
