# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:dens[1]-dens[2]       11:dens[1]-dens[3]       12:dens[1]-dens[4]       13:dens[1]-dens[5]       14:dens[2]-dens[2]       15:dens[2]-dens[3]       16:dens[2]-dens[4]       17:dens[2]-dens[5]       18:dens[3]-dens[3]       19:dens[3]-dens[4]       20:dens[3]-dens[5]       21:dens[4]-dens[4]       22:dens[4]-dens[5]       23:dens[5]-dens[5]       24:phi-dens[1]           25:phi-dens[2]           26:phi-dens[3]           27:phi-dens[4]           28:phi-dens[5]        
   12       1.110566696850e-10       3.000571037784e-16       1.091895399530e-13       0.000000000000e+00       7.283342517203e-10       6.455640855436e-11       1.226372832647e-14       5.593092868597e-05       5.519488603990e-05       5.416134194329e-05       3.251566352639e-05       9.905297493162e-06       5.478480631775e-05       5.407154798600e-05       3.447164870385e-05       1.134331346049e-05       5.367804564698e-05       3.632553576721e-05       1.287389544029e-05       4.443220747386e-05       3.024882900605e-05       3.767097984240e-05       6.863186084705e-08       6.733954801974e-08       6.608271556506e-08       5.521250958167e-08       4.678767830927e-08 
   13       1.119031906688e-10       2.874298329709e-16       1.144843745837e-13       0.000000000000e+00       6.420941354984e-10       5.769333584106e-11      -1.800346231549e-14       6.749178224593e-05       6.660391157759e-05       6.536299780109e-05       3.952597481280e-05       1.246683314551e-05       6.610327827017e-05       6.524284374316e-05       4.184322057527e-05       1.418910808707e-05       6.476219948871e-05       4.403726339610e-05       1.601884157549e-05       5.354905488774e-05       3.663933047460e-05       4.533884831663e-05       7.213151102483e-08       7.078837525771e-08       6.948164759899e-08       5.816018546264e-08       4.936059188125e-08 
   14       1.129472912185e-10       2.990817153607e-16       1.218840436734e-13       0.000000000000e+00       5.703282016326e-10       5.171747023649e-11      -3.452771075837e-14       8.032579498161e-05       7.927045679588e-05       7.780103768439e-05       4.734866304530e-05       1.537218753101e-05       7.866965939915e-05       7.764683771424e-05       5.006320577611e-05       1.741003898366e-05       7.706974471743e-05       5.263105048781e-05       1.957138725510e-05       6.367915705038e-05       4.376728923669e-05       5.385998805597e-05       7.539489402809e-08       7.400669597563e-08       7.265563105924e-08       6.092958767802e-08       5.178950990000e-08 
   15       1.141752963818e-10       3.232685638558e-16       1.301014738274e-13       0.000000000000e+00       5.099075248856e-10       4.669074652391e-11      -3.751600250523e-14       9.444712398954e-05       9.320885351271e-05       9.148988867588e-05       5.599520818939e-05       1.862652676947e-05       9.249851477365e-05       9.129824921325e-05       5.914383783568e-05       2.101198916300e-05       9.061561520784e-05       6.211985036394e-05       2.353815689421e-05       7.483952154197e-05       5.164676691969e-05       6.325177898172e-05       7.843303503382e-08       7.700517772322e-08       7.561500458529e-08       6.352835944659e-08       5.408022298816e-08 
   16       1.155117077171e-10       3.574610531231e-16       1.384714871518e-13       0.000000000000e+00       4.585260505379e-10       4.235730572327e-11      -3.092614021947e-14       1.098628497557e-04       1.084264690767e-04       1.064371516342e-04       6.547258900570e-05       2.223297492455e-05       1.075975264888e-04       1.062050230631e-04       6.909269258516e-05       2.499862924101e-05       1.054080491246e-04       7.251181804530e-05       2.792339136872e-05       8.704199837029e-05       6.028797360015e-05       7.352745144889e-05       8.125640888453e-08       7.979397063377e-08       7.836961402571e-08       6.596380326166e-08       5.623824689743e-08 
   17       1.169847125852e-10       4.071951639618e-16       1.467747557780e-13       0.000000000000e+00       4.144413200982e-10       3.857469500462e-11      -1.995367784443e-14       1.265734197119e-04       1.249241410360e-04       1.226440262832e-04       7.578360049627e-05       2.619284246405e-05       1.239679205637e-04       1.223687475966e-04       7.991300657520e-05       2.937165585563e-05       1.214489992956e-04       8.381062883997e-05       3.272919598178e-05       1.002935873390e-04       6.969757542362e-05       8.469637200633e-05       8.387480748852e-08       8.238257660784e-08       8.092866702115e-08       6.824277541924e-08       5.826882775344e-08 
   18       1.185307441346e-10       4.778926827061e-16       1.552716083267e-13       0.000000000000e+00       3.761714640949e-10       3.527529217381e-11      -9.489025158379e-15       1.445730089828e-04       1.426965294797e-04       1.401056550740e-04       8.692711308770e-05       3.050580497102e-05       1.416048118061e-04       1.397849922863e-04       9.160393652201e-05       3.413097366476e-05       1.387344641338e-04       9.601573701582e-05       3.795572498288e-05       1.145966523024e-04       7.987888454787e-05       9.676425544538e-05       8.629560345231e-08       8.477813796863e-08       8.329907759672e-08       7.037036195185e-08       6.017577005973e-08 
   19       1.201610297036e-10       5.698784881708e-16       1.641838997933e-13       0.000000000000e+00       3.431116646210e-10       3.241188875485e-11      -2.133794584288e-15       1.638501907275e-04       1.617327723567e-04       1.588117603208e-04       9.889842975042e-05       3.516999247666e-05       1.604978479399e-04       1.584439372307e-04       1.041609373301e-04       3.927481172696e-05       1.572551064221e-04       1.091227728178e-04       4.360132458223e-05       1.299493877032e-04       9.083219833679e-05       1.097335361628e-04       8.853343066406e-08       8.699490119043e-08       8.549472985969e-08       7.235741672540e-08       6.196772811161e-08 
   20       1.218685270461e-10       6.811529677421e-16       1.736508173778e-13       0.000000000000e+00       3.139894594727e-10       2.986906641300e-11       4.056520350788e-16       1.843878385589e-04       1.820163835810e-04       1.787465414190e-04       1.116893084263e-04       4.018218374683e-05       1.806311002195e-04       1.783302597448e-04       1.175757522709e-04       4.479988982691e-05       1.769961327042e-04       1.231235018846e-04       4.966267048276e-05       1.463455997443e-04       1.025546573302e-04       1.236030992023e-04       9.059013467093e-08       8.903460289922e-08       8.751727070275e-08       7.420485633297e-08       6.364513748053e-08 
   21       1.236547178599e-10       8.110755156684e-16       1.836258308505e-13       0.000000000000e+00       2.883488473865e-10       2.760137776339e-11      -1.303318203588e-15       2.061641464286e-04       2.035262601283e-04       1.998896623221e-04       1.252884931212e-04       4.553780008278e-05       2.019840647492e-04       1.994241229659e-04       1.318369910754e-04       5.070145845789e-05       1.979382758371e-04       1.380064460193e-04       5.613485459830e-05       1.637754760430e-04       1.150407485686e-04       1.383689164245e-04       9.247726548490e-08       9.090848678647e-08       8.937763843894e-08       7.592117532004e-08       6.521477283661e-08 
